文件名,分类,用途,触发场景,说明
Player_Gunshot,玩家战斗,枪械射击音效,玩家开枪时,标准枪声，每次 StandardFirearm.Fire() 触发
Player_Melee,玩家战斗,近战攻击音效,玩家按V键近战攻击时,挥刀/剑的破空声
Player_Reload,玩家战斗,换弹开始音效,武器弹药为0自动换弹时,机械换弹声，弹夹插入
Player_EmptyClip,玩家战斗,空弹夹音效,子弹耗尽时射击,干火咔哒声，提示玩家需要换弹
Player_ReloadComplete,玩家战斗,换弹完成音效,换弹完成时,武器就绪的咔嚓声
Player_Footstep,玩家战斗,脚步声,玩家移动时（可选）,单次地板踏步声
Player_Hurt,玩家战斗,玩家受伤音效,PlayerHealth.TakeDamage() 被调用时,男性痛苦低吼
Player_Death,玩家战斗,玩家死亡音效,PlayerHealth.Die() 被调用时,电子渐弱死亡声
Player_Dash,玩家战斗,闪避音效,PlayerDash闪避开始时,快速空气穿梭声
Player_SelfDamage,玩家战斗,自伤音效,BassCannon过载炸膛时,爆炸电击声
Player_Context,NPC/对话,对话跳字音效(玩家),NPC对话文字逐字弹出时,NPC说话时文字逐字弹出的打字声
Rhythm_Perfect,节奏核心,完美命中反馈,RhythmManager判定为Perfect时,清脆完美命中叮声（随机音调）
Rhythm_Great,节奏核心,优秀命中反馈,RhythmManager判定为Great时,中等悦耳命中声（随机音调）
Rhythm_Good,节奏核心,普通命中反馈,RhythmManager判定为Good时,软点击接受信号
Rhythm_Miss,节奏核心,未命中反馈,RhythmManager判定为Miss时,低沉的失败嗡嗡声
Rhythm_BeatTick,节奏核心,节拍滴答声,每拍提示（可选）,节拍器滴答声
Rhythm_BeatPreview,节奏核心,节拍预览提示,节拍到来前预览触发,柔和预期脉冲声
Bullet_Hit_Enemy,子弹,击中敌人音效,子弹碰撞到敌人时,血肉命中湿响（随机音调）
Bullet_Hit_Wall,子弹,击中墙壁音效,子弹碰撞到墙壁时,金属跳弹声
Bullet_Penetrate,子弹,穿透音效,连击10层触发穿透时,持续穿透撕裂声
Bullet_Destroy,子弹,子弹销毁音效,子弹超出范围或销毁时,能量消散声
Enemy_Hurt,敌人,敌人受伤音效,EnemyBase.Wound() 被调用时,怪物痛苦吼叫（随机音调）
Enemy_Death,敌人,敌人死亡音效,EnemyBase.OnKilled() 被调用时,怪物死亡哀嚎（随机音调）
Enemy_Spawn,敌人,敌人出生音效,敌人被召唤/生成时,怪物出现物质化声
Enemy_Warning,敌人,敌人预警音效,敌人发现玩家时,危险警报提示音
Enemy_MeleeAttack,敌人,近战攻击音效,敌人近战攻击时,怪物挥爪/猛击声
Enemy_RangedAttack,敌人,远程攻击音效,敌人远程射击时,能量弹发射声
Enemy_Explosion,敌人,爆炸音效,自爆类敌人爆炸时,中等爆炸碎屑声
Room_Enter,房间/门,进入房间音效,玩家进入新房间时,沉重石门开启声
Room_Cleared,房间/门,房间清理完成音效,房间内所有敌人被消灭时,区域清理完成小曲
Door_Open,房间/门,开门音效,房间清理后门打开时,沉重石门开启声
Door_Close,房间/门,关门音效,进入房间门关闭时,沉重石门关闭撞击声
Door_ActivatorHit,房间/门,门触发器音效,玩家触发房间触发器时,按钮开关机械咔哒声
Wave_Start,波次,波次开始音效,每波敌人开始生成时,战斗开始号角
Wave_End,波次,波次结束音效,每波敌人被消灭时,波次清理成功提示
Wave_AllComplete,波次,全部波次完成音效,房间所有波次完成时,全波次完成凯歌
Combo_Increase,连击,连击增加音效,每次命中敌人连击数增加时,快速上升哔声
Combo_Break,连击,连击中断音效,连击超时或Miss时,下降失败音
Combo_PenetrationActivate,连击,穿透激活音效,连击达到10层触发穿透时,能量爆发穿透激活
Combo_InvincibilityActivate,连击,无敌激活音效,连击达到15层触发无敌时,护盾屏障激活声
UI_Click,UI,按钮点击音效,玩家点击UI按钮时,清脆界面选择点击
UI_Hover,UI,按钮悬停音效,鼠标悬停在UI按钮时,柔和悬停提示音
UI_PanelOpen,UI,面板打开音效,UI面板打开动画时,界面面板开启声
UI_PanelClose,UI,面板关闭音效,UI面板关闭动画时,界面面板关闭声
UI_Pause,UI,暂停音效,游戏暂停时,时间冻结深沉音
UI_Resume,UI,恢复音效,游戏恢复时,取消暂停前进音
UI_DamageText,UI,伤害数字音效,敌人受到伤害飘字时,伤害数字弹出音
Boss_Appear,Boss,Boss出现音效,Boss被激活出现时,巨大怪物登场咆哮
Boss_AttackTelegraph,Boss,Boss攻击预警音效,Boss准备攻击时,攻击蓄力危险低吼
Boss_Defeat,Boss,Boss击败音效,Boss被击败时,Boss击败爆炸消散声
NPC_PromptAppear,NPC/对话,NPC提示出现音效,NPC提示图标出现时,NPC通知友好叮声
NPC_DialogueStart,NPC/对话,对话开始音效,对话开始时,对话开启提示音
NPC_DialogueNext,NPC/对话,对话推进音效,对话下一句时,对话推进翻页声
Echo_Context,NPC/对话,对话跳字音效(回响),特殊NPC对话文字逐字弹出时,特殊对话场景下文字逐字弹出的回声打字声
Weapon_Switch,武器,切换武器音效,玩家切换武器时,武器切换机械声
Weapon_Pickup,武器,捡起武器音效,玩家捡起新武器时,武器拾取收集声
Treasure_Open,场景,宝箱打开音效,进入宝箱房开箱时,宝箱开启金币闪烁声
Level_Complete,场景,关卡完成音效,游戏胜利通关时,关卡完成胜利凯歌
